title,author,isbn,copies
Ida,Eldridge Shirley,764103352-0,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2166,""status"":""Available""},{""copyNumber"":9562,""status"":""Available""},{""copyNumber"":8391,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2560,""status"":""Available""},{""copyNumber"":8524,""status"":""Borrowed""},{""copyNumber"":8538,""status"":""Available""}]}]"
Leviathan,Lanna Khadir,856377214-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3170,""status"":""Borrowed""}]}]"
Essential Killing,Valerye Georgeou,619158819-4,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1328,""status"":""Borrowed""},{""copyNumber"":1260,""status"":""Available""},{""copyNumber"":1120,""status"":""Available""},{""copyNumber"":1704,""status"":""Available""}]}]"
Japanese Summer: Double Suicide (Muri shinjû: Nihon no natsu),Oren Stonier,016547922-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9686,""status"":""Available""},{""copyNumber"":4186,""status"":""Borrowed""},{""copyNumber"":4977,""status"":""Available""},{""copyNumber"":3229,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5139,""status"":""Available""},{""copyNumber"":6355,""status"":""Borrowed""},{""copyNumber"":2570,""status"":""Borrowed""},{""copyNumber"":7701,""status"":""Borrowed""},{""copyNumber"":8453,""status"":""Borrowed""},{""copyNumber"":4069,""status"":""Available""}]}]"
Village People,Chiquita Collin,046030343-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5178,""status"":""Borrowed""},{""copyNumber"":6333,""status"":""Available""}]}]"
96 Minutes ,Aubrey Shekle,117337365-9,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1911,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8190,""status"":""Available""}]}]"
"Longest Yard, The",Thekla Balma,917347605-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2155,""status"":""Borrowed""}]}]"
Robocroc,Owen Prescote,178656202-2,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8382,""status"":""Available""},{""copyNumber"":6615,""status"":""Available""},{""copyNumber"":9886,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6517,""status"":""Available""},{""copyNumber"":5443,""status"":""Borrowed""},{""copyNumber"":2001,""status"":""Available""},{""copyNumber"":6690,""status"":""Borrowed""}]}]"
Ceremony,Teodoro O'Kynsillaghe,533209043-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5725,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2959,""status"":""Available""},{""copyNumber"":7952,""status"":""Borrowed""},{""copyNumber"":9709,""status"":""Available""},{""copyNumber"":7187,""status"":""Available""},{""copyNumber"":7493,""status"":""Borrowed""},{""copyNumber"":5916,""status"":""Borrowed""}]}]"
"Perks of Being a Wallflower, The",Paula Dadge,298247056-X,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2165,""status"":""Borrowed""},{""copyNumber"":2087,""status"":""Available""},{""copyNumber"":7585,""status"":""Borrowed""},{""copyNumber"":4138,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4165,""status"":""Available""},{""copyNumber"":8433,""status"":""Borrowed""},{""copyNumber"":5084,""status"":""Available""},{""copyNumber"":4839,""status"":""Available""},{""copyNumber"":9685,""status"":""Available""},{""copyNumber"":3240,""status"":""Borrowed""}]}]"
Striking Distance,Taylor Guiso,674594897-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1045,""status"":""Available""},{""copyNumber"":1360,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7103,""status"":""Borrowed""},{""copyNumber"":5919,""status"":""Borrowed""},{""copyNumber"":7396,""status"":""Borrowed""},{""copyNumber"":9180,""status"":""Borrowed""}]}]"
Pirates,Rubetta Ciccotto,205040128-0,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2059,""status"":""Borrowed""},{""copyNumber"":8697,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4164,""status"":""Available""},{""copyNumber"":4541,""status"":""Borrowed""},{""copyNumber"":9285,""status"":""Available""},{""copyNumber"":4077,""status"":""Borrowed""}]}]"
Jumbo (Billy Rose's Jumbo),Maure Kirrage,134667931-2,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4843,""status"":""Borrowed""},{""copyNumber"":9323,""status"":""Available""},{""copyNumber"":3688,""status"":""Available""},{""copyNumber"":7404,""status"":""Available""}]}]"
Man-Thing,Fonz Williment,195117761-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1965,""status"":""Available""},{""copyNumber"":2719,""status"":""Borrowed""}]}]"
Busting,Alec Albone,797518493-4,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4126,""status"":""Available""},{""copyNumber"":1709,""status"":""Available""},{""copyNumber"":8388,""status"":""Borrowed""},{""copyNumber"":9492,""status"":""Available""},{""copyNumber"":4459,""status"":""Available""},{""copyNumber"":9956,""status"":""Borrowed""}]}]"
Run Lola Run (Lola rennt),Orlando Merrgan,737165427-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7456,""status"":""Available""},{""copyNumber"":3216,""status"":""Available""},{""copyNumber"":3259,""status"":""Borrowed""},{""copyNumber"":1823,""status"":""Borrowed""},{""copyNumber"":5789,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8358,""status"":""Available""},{""copyNumber"":4221,""status"":""Available""},{""copyNumber"":4264,""status"":""Borrowed""},{""copyNumber"":5108,""status"":""Available""},{""copyNumber"":2627,""status"":""Borrowed""},{""copyNumber"":8508,""status"":""Borrowed""}]}]"
Honkytonk Man,Skelly Misson,825451367-8,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1296,""status"":""Available""},{""copyNumber"":8923,""status"":""Available""},{""copyNumber"":2778,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8805,""status"":""Borrowed""}]}]"
The Diary of a Teenage Girl,Pail Anscombe,429980740-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9016,""status"":""Available""},{""copyNumber"":8411,""status"":""Available""},{""copyNumber"":2109,""status"":""Borrowed""},{""copyNumber"":9037,""status"":""Borrowed""}]}]"
Kill a Rat,Orlando Woolfitt,806526240-6,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7999,""status"":""Borrowed""},{""copyNumber"":8906,""status"":""Borrowed""},{""copyNumber"":1651,""status"":""Available""},{""copyNumber"":1734,""status"":""Available""},{""copyNumber"":5789,""status"":""Borrowed""}]}]"
"Crimson Pirate, The",Ashleigh Guisot,086911761-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2842,""status"":""Borrowed""},{""copyNumber"":1776,""status"":""Borrowed""},{""copyNumber"":1511,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7917,""status"":""Available""},{""copyNumber"":4811,""status"":""Available""},{""copyNumber"":9697,""status"":""Borrowed""},{""copyNumber"":2376,""status"":""Borrowed""}]}]"
Devils on the Doorstep (Guizi lai le),Wiatt Fernier,731802461-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5549,""status"":""Borrowed""},{""copyNumber"":9908,""status"":""Borrowed""},{""copyNumber"":9901,""status"":""Borrowed""}]}]"
The Land Unknown,Lyn Brydell,587121354-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4520,""status"":""Available""},{""copyNumber"":8270,""status"":""Borrowed""},{""copyNumber"":4411,""status"":""Borrowed""},{""copyNumber"":9683,""status"":""Available""},{""copyNumber"":6436,""status"":""Borrowed""},{""copyNumber"":9150,""status"":""Available""}]}]"
Lovely Molly,Selene Dallinder,934740128-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6125,""status"":""Borrowed""},{""copyNumber"":7600,""status"":""Borrowed""}]}]"
Full Moon in Paris (Les nuits de la pleine lune),Rozelle Tures,205167954-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9518,""status"":""Borrowed""},{""copyNumber"":1781,""status"":""Borrowed""},{""copyNumber"":2434,""status"":""Available""},{""copyNumber"":5007,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9724,""status"":""Available""},{""copyNumber"":4271,""status"":""Available""}]}]"
Only the Strong,Trent Ramet,897188456-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1448,""status"":""Borrowed""},{""copyNumber"":6216,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1942,""status"":""Available""},{""copyNumber"":3662,""status"":""Borrowed""},{""copyNumber"":7833,""status"":""Available""},{""copyNumber"":9621,""status"":""Available""}]}]"
Kestrel's Eye (Falkens öga),Noni Beange,571066888-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1644,""status"":""Available""},{""copyNumber"":5253,""status"":""Borrowed""},{""copyNumber"":7505,""status"":""Borrowed""},{""copyNumber"":6306,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5239,""status"":""Available""},{""copyNumber"":7778,""status"":""Borrowed""},{""copyNumber"":6877,""status"":""Available""}]}]"
She's Gotta Have It,Gerhardt Spere,361585352-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7215,""status"":""Borrowed""},{""copyNumber"":5242,""status"":""Borrowed""},{""copyNumber"":8446,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5769,""status"":""Borrowed""},{""copyNumber"":5455,""status"":""Borrowed""},{""copyNumber"":4410,""status"":""Borrowed""},{""copyNumber"":2896,""status"":""Borrowed""}]}]"
Grudge Match,Dal Albin,186379306-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7768,""status"":""Borrowed""},{""copyNumber"":6157,""status"":""Borrowed""},{""copyNumber"":3089,""status"":""Borrowed""},{""copyNumber"":5747,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2090,""status"":""Available""},{""copyNumber"":9868,""status"":""Borrowed""},{""copyNumber"":2237,""status"":""Borrowed""},{""copyNumber"":8111,""status"":""Borrowed""}]}]"
Dr. Wai in the Scriptures with No Words (Mao xian wang),Pail Crosseland,740510131-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1601,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8483,""status"":""Borrowed""},{""copyNumber"":9126,""status"":""Available""},{""copyNumber"":1874,""status"":""Available""},{""copyNumber"":6315,""status"":""Available""}]}]"
Stone Cold,Francoise Stillmann,531638872-0,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2929,""status"":""Available""},{""copyNumber"":9084,""status"":""Available""},{""copyNumber"":5336,""status"":""Available""},{""copyNumber"":3392,""status"":""Available""},{""copyNumber"":8409,""status"":""Available""},{""copyNumber"":2560,""status"":""Borrowed""}]}]"
Major League II,Giraud Connelly,081501085-0,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6848,""status"":""Borrowed""},{""copyNumber"":4826,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":6080,""status"":""Available""},{""copyNumber"":2436,""status"":""Available""},{""copyNumber"":2200,""status"":""Borrowed""},{""copyNumber"":8492,""status"":""Available""}]}]"
"Sixth of the World, A (Shestaya chast mira)",Ali Becke,322088790-2,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8697,""status"":""Available""},{""copyNumber"":5550,""status"":""Available""}]}]"
Knights of Badassdom,Jamison McGarahan,040623361-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8733,""status"":""Available""},{""copyNumber"":9031,""status"":""Available""},{""copyNumber"":2093,""status"":""Borrowed""},{""copyNumber"":9579,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6798,""status"":""Borrowed""},{""copyNumber"":7572,""status"":""Borrowed""},{""copyNumber"":1783,""status"":""Borrowed""}]}]"
But Forever in My Mind,Lotte Labeuil,657670346-5,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7466,""status"":""Borrowed""}]}]"
Alice and Martin (Alice et Martin),Elita Teggin,807591842-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4127,""status"":""Borrowed""},{""copyNumber"":4151,""status"":""Borrowed""},{""copyNumber"":6180,""status"":""Borrowed""},{""copyNumber"":3630,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1179,""status"":""Available""},{""copyNumber"":3446,""status"":""Available""},{""copyNumber"":9245,""status"":""Available""},{""copyNumber"":4194,""status"":""Borrowed""},{""copyNumber"":2404,""status"":""Borrowed""}]}]"
Farmageddon,Nelson MacFaul,186455264-6,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9224,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7635,""status"":""Borrowed""}]}]"
Carbine Williams,Pip Leggate,208075276-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7226,""status"":""Available""}]}]"
Bastards (Les salauds),Iggie Beauchamp,140364411-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8098,""status"":""Borrowed""},{""copyNumber"":1238,""status"":""Borrowed""},{""copyNumber"":4053,""status"":""Borrowed""},{""copyNumber"":5216,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6602,""status"":""Borrowed""},{""copyNumber"":6724,""status"":""Borrowed""},{""copyNumber"":4850,""status"":""Borrowed""},{""copyNumber"":6485,""status"":""Available""},{""copyNumber"":5400,""status"":""Available""},{""copyNumber"":7810,""status"":""Borrowed""}]}]"
Sunset Park,Thomasina Aldred,977979166-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2390,""status"":""Available""},{""copyNumber"":9101,""status"":""Available""},{""copyNumber"":7419,""status"":""Available""},{""copyNumber"":9342,""status"":""Available""},{""copyNumber"":6721,""status"":""Borrowed""},{""copyNumber"":9410,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3871,""status"":""Borrowed""}]}]"
Shooting Gallery,Raquel Borrows,397585737-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6285,""status"":""Available""},{""copyNumber"":4926,""status"":""Available""},{""copyNumber"":1030,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7552,""status"":""Borrowed""},{""copyNumber"":4736,""status"":""Available""}]}]"
"Jodorowsky Constellation, The (La constellation Jodorowsky)",Phaedra McEvilly,586288955-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9887,""status"":""Available""},{""copyNumber"":5812,""status"":""Borrowed""},{""copyNumber"":8732,""status"":""Borrowed""},{""copyNumber"":4503,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2731,""status"":""Borrowed""},{""copyNumber"":2792,""status"":""Borrowed""},{""copyNumber"":5551,""status"":""Available""},{""copyNumber"":6475,""status"":""Available""}]}]"
Noise,Kean Berney,884211530-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9907,""status"":""Available""},{""copyNumber"":2133,""status"":""Borrowed""},{""copyNumber"":2137,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1010,""status"":""Borrowed""},{""copyNumber"":7520,""status"":""Borrowed""},{""copyNumber"":7598,""status"":""Borrowed""},{""copyNumber"":4609,""status"":""Available""},{""copyNumber"":6900,""status"":""Available""},{""copyNumber"":4287,""status"":""Available""}]}]"
Izo,Eleonore Sharrier,647916065-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5217,""status"":""Available""},{""copyNumber"":2808,""status"":""Available""},{""copyNumber"":6441,""status"":""Borrowed""},{""copyNumber"":5099,""status"":""Borrowed""},{""copyNumber"":9761,""status"":""Borrowed""},{""copyNumber"":9824,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7874,""status"":""Borrowed""},{""copyNumber"":8898,""status"":""Borrowed""},{""copyNumber"":2119,""status"":""Borrowed""},{""copyNumber"":4590,""status"":""Available""}]}]"
Life After Beth,Katheryn Lindell,445363646-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3380,""status"":""Borrowed""},{""copyNumber"":5110,""status"":""Borrowed""},{""copyNumber"":1147,""status"":""Borrowed""},{""copyNumber"":6733,""status"":""Available""},{""copyNumber"":2533,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3508,""status"":""Available""},{""copyNumber"":2756,""status"":""Borrowed""},{""copyNumber"":8782,""status"":""Borrowed""},{""copyNumber"":4267,""status"":""Borrowed""},{""copyNumber"":5693,""status"":""Borrowed""},{""copyNumber"":2762,""status"":""Borrowed""}]}]"
Lawman,Elianore Apperley,002265658-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3225,""status"":""Available""},{""copyNumber"":5587,""status"":""Borrowed""},{""copyNumber"":5469,""status"":""Available""},{""copyNumber"":4374,""status"":""Available""},{""copyNumber"":2140,""status"":""Available""},{""copyNumber"":7966,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5622,""status"":""Available""},{""copyNumber"":4666,""status"":""Available""},{""copyNumber"":4440,""status"":""Borrowed""},{""copyNumber"":4160,""status"":""Borrowed""},{""copyNumber"":5202,""status"":""Available""}]}]"
